variable,type,var,f_1,f_2,f_3,f_4,metric,export_1,export_2
ex_nloy_kc_dcp_reg,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,v84,Discount Cherry Picker_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,v85,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v86,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_kids_reg,1,Kohl's Kids,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_2,v87,Kohl's Kids_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_mens_reg,1,Kohl's Mens,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_2,v88,Kohl's Mens_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_oleth_reg,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,v89,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_missex_reg,1,Misses Exclusive,Existing Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_2,v90,Misses Exclusive_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_ocbb_reg,1,Occasional Big Basket,Existing Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_2,v91,Occasional Big Basket_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_odis_reg,1,One and Done In-Store,Existing Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_2,v92,One and Done In-Store_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_nloy_kc_odol_reg,1,One and Done Online,Existing Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_2,v93,One and Done Online_Existing Customer_Non Loyalist_Kohl's Charge_regular
ex_loy_nkc_other_reg,1,Sales - Other,Existing Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_2,v94,Sales - Other_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_dcp_reg,1,Discount Cherry Picker,Existing Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,v95,Discount Cherry Picker_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,v96,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v97,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_kids_reg,1,Kohl's Kids,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,v98,Kohl's Kids_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_mens_reg,1,Kohl's Mens,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,v99,Kohl's Mens_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_oleth_reg,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,v100,Kohl's Online Enthusiast_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_missex_reg,1,Misses Exclusive,Existing Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,v101,Misses Exclusive_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_ocbb_reg,1,Occasional Big Basket,Existing Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,v102,Occasional Big Basket_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_odis_reg,1,One and Done In-Store,Existing Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,v103,One and Done In-Store_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_nkc_odol_reg,1,One and Done Online,Existing Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_2,v104,One and Done Online_Existing Customer_Loyalist_Non Kohl's Charge_regular
ex_loy_kc_other_reg,1,Sales - Other,Existing Customer,Loyalist,Kohl's Charge,Sales - Other,m_2,v105,Sales - Other_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_dcp_reg,1,Discount Cherry Picker,Existing Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,v106,Discount Cherry Picker_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,Existing Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,v107,Kohl's Full Store Loyalist_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v108,Kohl's In-Store Enthusiast_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_kids_reg,1,Kohl's Kids,Existing Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_2,v109,Kohl's Kids_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_mens_reg,1,Kohl's Mens,Existing Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_2,v110,Kohl's Mens_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_oleth_reg,1,Kohl's Online Enthusiast,Existing Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,v111,Kohl's Online Enthusiast_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_missex_reg,1,Misses Exclusive,Existing Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_2,v112,Misses Exclusive_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_ocbb_reg,1,Occasional Big Basket,Existing Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_2,v113,Occasional Big Basket_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_odis_reg,1,One and Done In-Store,Existing Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_2,v114,One and Done In-Store_Existing Customer_Loyalist_Kohl's Charge_regular
ex_loy_kc_odol_reg,1,One and Done Online,Existing Customer,Loyalist,Kohl's Charge,One and Done Online,m_2,v115,One and Done Online_Existing Customer_Loyalist_Kohl's Charge_regular
new_nloy_nkc_other_reg,1,Sales - Other,New Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_2,v116,Sales - Other_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_dcp_reg,1,Discount Cherry Picker,New Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,v117,Discount Cherry Picker_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,v118,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v119,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_kids_reg,1,Kohl's Kids,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,v120,Kohl's Kids_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_mens_reg,1,Kohl's Mens,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,v121,Kohl's Mens_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_oleth_reg,1,Kohl's Online Enthusiast,New Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,v122,Kohl's Online Enthusiast_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_missex_reg,1,Misses Exclusive,New Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,v123,Misses Exclusive_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_ocbb_reg,1,Occasional Big Basket,New Customer,Non Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,v124,Occasional Big Basket_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_odis_reg,1,One and Done In-Store,New Customer,Non Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,v125,One and Done In-Store_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_nkc_odol_reg,1,One and Done Online,New Customer,Non Loyalist,Non Kohl's Charge,One and Done Online,m_2,v126,One and Done Online_New Customer_Non Loyalist_Non Kohl's Charge_regular
new_nloy_kc_other_reg,1,Sales - Other,New Customer,Non Loyalist,Kohl's Charge,Sales - Other,m_2,v127,Sales - Other_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_dcp_reg,1,Discount Cherry Picker,New Customer,Non Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,v128,Discount Cherry Picker_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,New Customer,Non Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,v129,Kohl's Full Store Loyalist_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,New Customer,Non Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v130,Kohl's In-Store Enthusiast_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_kids_reg,1,Kohl's Kids,New Customer,Non Loyalist,Kohl's Charge,Kohl's Kids,m_2,v131,Kohl's Kids_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_mens_reg,1,Kohl's Mens,New Customer,Non Loyalist,Kohl's Charge,Kohl's Mens,m_2,v132,Kohl's Mens_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_oleth_reg,1,Kohl's Online Enthusiast,New Customer,Non Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,v133,Kohl's Online Enthusiast_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_missex_reg,1,Misses Exclusive,New Customer,Non Loyalist,Kohl's Charge,Misses Exclusive,m_2,v134,Misses Exclusive_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_ocbb_reg,1,Occasional Big Basket,New Customer,Non Loyalist,Kohl's Charge,Occasional Big Basket,m_2,v135,Occasional Big Basket_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_odis_reg,1,One and Done In-Store,New Customer,Non Loyalist,Kohl's Charge,One and Done In-Store,m_2,v136,One and Done In-Store_New Customer_Non Loyalist_Kohl's Charge_regular
new_nloy_kc_odol_reg,1,One and Done Online,New Customer,Non Loyalist,Kohl's Charge,One and Done Online,m_2,v137,One and Done Online_New Customer_Non Loyalist_Kohl's Charge_regular
new_loy_nkc_other_reg,1,Sales - Other,New Customer,Loyalist,Non Kohl's Charge,Sales - Other,m_2,v138,Sales - Other_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_dcp_reg,1,Discount Cherry Picker,New Customer,Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_2,v139,Discount Cherry Picker_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_fsloy_reg,1,Kohl's Full Store Loyalist,New Customer,Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_2,v140,Kohl's Full Store Loyalist_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_iseth_reg,1,Kohl's In-Store Enthusiast,New Customer,Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v141,Kohl's In-Store Enthusiast_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_kids_reg,1,Kohl's Kids,New Customer,Loyalist,Non Kohl's Charge,Kohl's Kids,m_2,v142,Kohl's Kids_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_mens_reg,1,Kohl's Mens,New Customer,Loyalist,Non Kohl's Charge,Kohl's Mens,m_2,v143,Kohl's Mens_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_oleth_reg,1,Kohl's Online Enthusiast,New Customer,Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_2,v144,Kohl's Online Enthusiast_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_missex_reg,1,Misses Exclusive,New Customer,Loyalist,Non Kohl's Charge,Misses Exclusive,m_2,v145,Misses Exclusive_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_ocbb_reg,1,Occasional Big Basket,New Customer,Loyalist,Non Kohl's Charge,Occasional Big Basket,m_2,v146,Occasional Big Basket_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_odis_reg,1,One and Done In-Store,New Customer,Loyalist,Non Kohl's Charge,One and Done In-Store,m_2,v147,One and Done In-Store_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_nkc_odol_reg,1,One and Done Online,New Customer,Loyalist,Non Kohl's Charge,One and Done Online,m_2,v148,One and Done Online_New Customer_Loyalist_Non Kohl's Charge_regular
new_loy_kc_other_reg,1,Sales - Other,New Customer,Loyalist,Kohl's Charge,Sales - Other,m_2,v149,Sales - Other_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_dcp_reg,1,Discount Cherry Picker,New Customer,Loyalist,Kohl's Charge,Discount Cherry Picker,m_2,v150,Discount Cherry Picker_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_fsloy_reg,1,Kohl's Full Store Loyalist,New Customer,Loyalist,Kohl's Charge,Kohl's Full Store Loyalist,m_2,v151,Kohl's Full Store Loyalist_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_iseth_reg,1,Kohl's In-Store Enthusiast,New Customer,Loyalist,Kohl's Charge,Kohl's In-Store Enthusiast,m_2,v152,Kohl's In-Store Enthusiast_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_kids_reg,1,Kohl's Kids,New Customer,Loyalist,Kohl's Charge,Kohl's Kids,m_2,v153,Kohl's Kids_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_mens_reg,1,Kohl's Mens,New Customer,Loyalist,Kohl's Charge,Kohl's Mens,m_2,v154,Kohl's Mens_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_oleth_reg,1,Kohl's Online Enthusiast,New Customer,Loyalist,Kohl's Charge,Kohl's Online Enthusiast,m_2,v155,Kohl's Online Enthusiast_New Customer_Loyalist_Kohl's Charge_regular
