week,dmanum,test1_imp,test1_spd,test2_clk_f11_f21_f32,test2_clk_f11_f21_f31,test2_clk_f11_f22_f32,test2_clk_f11_f22_f31,test2_clk_f12_f21_f32,test2_clk_f12_f21_f31,test2_clk_f12_f22_f32,test2_clk_f12_f22_f31
1/12/2015,584,22504.46637,519.4386608,0,130.4062768,338.1620023,206.3365861,0,122.8270453,247.8283382,82.62416552
1/12/2015,588,118568.976,2736.759411,0,687.0697778,1781.669545,1087.122766,0,647.1371841,1305.729797,435.3208177
1/12/2015,592,43418.86431,1002.176029,0,251.5986091,652.4309378,398.09432,0,236.975662,478.1461961,159.4104643
1/12/2015,596,12121.68011,279.78754,0,70.24130881,182.1456928,111.1399867,0,66.1588739,133.4888723,44.50421919
1/12/2015,597,20775.21249,479.5247476,0,120.3857966,312.1774736,190.4815849,0,113.3889569,228.7850911,76.27528543
1/12/2015,598,36527.33533,843.1086452,0,211.6643747,548.8757945,334.9079933,0,199.362411,402.2538756,134.1085166
1/12/2015,600,76092.18862,1756.328007,0,440.9302069,1143.394669,697.666062,0,415.3032802,837.9581346,279.3691477
1/12/2015,602,1271698.583,29352.81371,0,7369.091746,19109.10181,11659.81631,0,6940.799081,14004.46211,4668.985813
1/12/2015,603,53942.15657,1245.07025,0,312.577765,810.5585523,494.5791761,0,294.4107007,594.0329713,198.0462723
1/12/2015,604,60813.34916,1403.668238,0,352.3941565,913.808112,557.5790445,0,331.9129578,669.7013392,223.2735558
1/12/2015,605,61384.61699,1416.854003,0,355.7044732,922.3922335,562.816825,0,335.0308784,675.9923729,225.3709407
1/12/2015,606,33718.93196,778.2862556,0,195.3905639,506.6754911,309.1585996,0,184.0344364,371.3265952,123.7975862
1/12/2015,609,412159.0448,9513.282333,0,2388.331525,6193.282951,3778.960534,0,2249.521355,4538.863063,1513.223935
1/12/2015,610,64107.05288,1479.692127,0,371.4801296,963.3007516,587.778009,0,349.8896513,705.9729443,235.3662452
1/12/2015,611,47997.32641,1107.854172,0,278.1293513,721.2289215,440.0728421,0,261.9644337,528.5660832,176.2200879
1/12/2015,612,138450.3115,3195.652064,0,802.2758393,2080.41523,1269.408665,0,755.6474529,1524.67115,508.3142727
1/12/2015,613,592459.9412,13674.91206,0,3433.118289,8902.563463,5432.084444,0,3233.584964,6524.409879,2175.190802
1/12/2015,616,315834.916,7289.969162,0,1830.163613,4745.874257,2895.793985,0,1723.794242,3478.102573,1159.574102
1/12/2015,617,305373.4252,7048.501417,0,1769.542577,4588.675299,2799.875768,0,1666.69651,3362.896381,1121.165195
1/12/2015,618,826118.5209,19068.12147,0,4787.095981,12413.61997,7574.428672,0,4508.869278,9097.553208,3033.058074
1/12/2015,619,147768.0781,3410.720848,0,856.2693546,2220.428085,1354.840425,0,806.5028573,1627.282186,542.5240459
1/12/2015,622,220502.9127,5089.555817,0,1277.744755,3313.373678,2021.723932,0,1203.482047,2428.267773,809.5668149
1/12/2015,623,926959.7064,21395.69545,0,5371.43881,13928.90395,8499.010737,0,5059.250019,10208.05736,3403.292083
1/12/2015,624,53159.60152,1227.007643,0,308.0431056,798.799536,487.4041675,0,290.1395963,585.4151566,195.1731556
1/12/2015,625,129418.8391,2987.191404,0,749.9413084,1944.704356,1186.601851,0,706.3546124,1425.212902,475.1556162
1/12/2015,626,11507.36251,265.6081185,0,66.68153226,172.9146865,105.507496,0,62.80599208,126.723757,42.24877893
1/12/2015,627,58207.38536,1343.518474,0,337.2934191,874.6497546,533.6857575,0,317.6898774,641.0034057,213.7058735
1/12/2015,628,63564.30882,1467.164736,0,368.3350991,955.1452409,582.8017544,0,346.9274105,699.996026,233.3735841
1/12/2015,630,244700.7141,5648.079327,0,1417.963374,3676.980477,2243.586191,0,1335.55114,2694.743806,898.4079861
1/12/2015,631,16642.43438,384.1336954,0,96.43765238,250.0765334,152.5894033,0,90.83268224,183.2732574,61.10197108
1/12/2015,632,129137.4309,2980.696058,0,748.3106369,1940.475793,1184.021705,0,704.8187158,1422.113921,474.1224384
1/12/2015,633,54604.67407,1260.362202,0,316.4168448,820.5138314,500.6535969,0,298.0266525,601.3288835,200.4786763
1/12/2015,634,71670.73934,1654.273968,0,415.3093044,1076.956029,657.1271426,0,391.1714683,789.2673365,263.1359897
1/12/2015,635,242712.8975,5602.197377,0,1406.444604,3647.11067,2225.360507,0,1324.701843,2672.85316,891.1098042
1/12/2015,636,166955.335,3853.593071,0,967.4534502,2508.744241,1530.76253,0,911.2249174,1838.580065,612.9692218
1/12/2015,637,115642.3839,2669.209038,0,670.1111002,1737.693285,1060.289736,0,631.1641473,1273.500973,424.5759624
1/12/2015,638,19982.35718,461.2243937,0,115.7914504,300.2636812,183.2121364,0,109.0616348,220.0538459,73.36435178
1/12/2015,639,23454.20244,541.3600708,0,135.9096974,352.433154,215.0444264,0,128.0106064,258.2872182,86.11108004
1/12/2015,640,249830.2397,5766.476887,0,1447.687355,3754.058982,2290.617246,0,1363.547559,2751.232228,917.2408153
1/12/2015,641,327047.7969,7548.78018,0,1895.138717,4914.363934,2998.601469,0,1784.992984,3601.583379,1200.741705
1/12/2015,642,81007.12562,1869.772523,0,469.4107149,1217.248672,742.7296199,0,442.128497,892.0834201,297.4141242
1/12/2015,643,35204.67731,812.579607,0,203.9999891,529.0009537,322.7809454,0,192.1434806,387.6882274,129.2524354
1/12/2015,644,32687.71825,754.4842129,0,189.4150061,491.1800207,299.7037157,0,178.4061788,359.9704504,120.0115301
1/12/2015,647,27016.24093,623.5775504,0,156.5505858,405.9579099,247.7036705,0,147.4518434,297.513835,99.18894881
1/12/2015,648,124143.6574,2865.43187,0,719.373296,1865.437157,1138.235319,0,677.5632173,1367.120455,455.7880169
1/12/2015,649,97247.05784,2244.615832,0,563.5159943,1461.277031,891.6286036,0,530.7643642,1070.92416,357.0383262
1/12/2015,650,234562.7569,5414.079249,0,1359.217113,3524.643076,2150.634354,0,1280.21922,2583.100497,861.1869191
